,age,gender,department,academic_year,current_residence,study_preference,gpa,sleep_hours,sport_hours,cigarettes_per_day,coffee_cups,department_satisfaction,development_obstacles,job_search_duration,higher_education,work_style,country_preference,sector_preference,field_preference,city_preference,salary_expectation
0,21,Male,Computer Engineering,3,On-campus,Study room or Cafe in campus,2.51-3.00,More than 9 hours,1.0,15.0,0.0,8,Yok.,0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Open to both,Public Sector,Department's field sector,Ankara,70.0
1,22,Male,Electrical and Electronics Engineering,4,On-campus,In the library,2.51-3.00,Between 6-7 hours,5.0,0.0,2.0,6,Yok,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Abroad,Private Sector,Department's field sector,Adana,100.0
2,19,Male,Electrical and Electronics Engineering,1,On-campus,Other,I don't have a GPA yet,Between 6-7 hours,4.0,20.0,3.0,4,Barınma şartları.,0-3 Months,"Yes, I plan to pursue a Master's degree.",Remote,Abroad,Private Sector,Department's field sector,İstanbul,50.0
3,21,Female,Industrial Engineering,3,Student House,In the library,2.51-3.00,Between 6-7 hours,0.0,20.0,4.0,8,"Ulaşım, cinsiyet ayrımcılığı, mobbing, kaynak yetersizliği",0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Abroad,Private Sector,Department's field sector,İstanbul ,34.0
4,21,Male,Industrial Engineering,2,Student House,In the library,2.01-2.50,Between 6-7 hours,0.0,25.0,4.0,6,Yok.,0-3 Months,"No, I do not plan to pursue further education.",Hybrid,Abroad,Private Sector,Department's field sector,Eskişehir ,40.0
5,20,Female,Industrial Engineering,3,On-campus,In the library,2.51-3.00,Between 7-8 hours,0.0,0.0,0.0,8,Liyakatsizlik.,3-6 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Not sure yet,Public Sector,Department's field sector,Ankara,35.0
6,23,Female,Industrial Engineering,3,With family,In the library,2.51-3.00,Less than 5 hours,0.0,15.0,4.0,9,"Maddiyat, cinsiyet ayrımcılığı, ulaşım",0-3 Months,"Yes, I plan to pursue a Master's degree.",Hybrid,Abroad,Private Sector,Department's field sector,Ankara ,32.0
7,22,Female,Industrial Engineering,3,With family,In the library,2.51-3.00,Between 5-6 hours,0.0,0.0,2.5,8,"Ulaşım, ekonomi ve liyakatsizlik.",0-3 Months,"No, I do not plan to pursue further education.",Hybrid,Abroad,Public Sector,Department's field sector,İstanbul,51.0
8,22,Female,Electrical and Electronics Engineering,4,With family,In the library,3.01-3.50,Between 6-7 hours,0.0,0.0,0.5,10,"Ekonomi, güçsüz pasaport",0-3 Months,"Yes, I plan to pursue a Master's degree.",Face-to-face,Abroad,Private Sector,Department's field sector,Ankara ,51.0
9,21,Male,Computer Engineering,3,Student House,In the library,2.51-3.00,Between 8-9 hours,0.0,20.0,0.5,6,Ders yoğunluğu ,0-3 Months,"No, I do not plan to pursue further education.",Remote,Abroad,Private Sector,Department's field sector,İstanbul ,80.0
